X,Y,min,,max,diff in meV_max
113,-1688.359917,-1688.3602,,-1688.351553,227.6
114,-1688.359908,-1688.3602,,-1688.351553,227.35
115,-1688.359893,-1688.3602,,-1688.351553,226.94
116,-1688.359872,-1688.3602,,-1688.351553,226.37
117,-1688.359845,-1688.3602,,-1688.351553,225.65
118,-1688.359813,-1688.3602,,-1688.351553,224.76
119,-1688.359774,-1688.3602,,-1688.351553,223.72
120,-1688.35973,-1688.3602,,-1688.351553,222.51
121,-1688.35968,-1688.3602,,-1688.351553,221.15
122,-1688.359624,-1688.3602,,-1688.351553,219.62
123,-1688.359562,-1688.3602,,-1688.351553,217.93
124,-1688.359493,-1688.3602,,-1688.351553,216.06
125,-1688.359418,-1688.3602,,-1688.351553,214.02
126,-1688.359336,-1688.3602,,-1688.351553,211.8
127,-1688.359248,-1688.3602,,-1688.351553,209.4
128,-1688.359154,-1688.3602,,-1688.351553,206.83
129,-1688.359053,-1688.3602,,-1688.351553,204.08
130,-1688.358945,-1688.3602,,-1688.351553,201.16
131,-1688.358832,-1688.3602,,-1688.351553,198.08
132,-1688.358713,-1688.3602,,-1688.351553,194.84
133,-1688.358589,-1688.3602,,-1688.351553,191.45
134,-1688.358458,-1688.3602,,-1688.351553,187.91
135,-1688.358323,-1688.3602,,-1688.351553,184.22
136,-1688.358182,-1688.3602,,-1688.351553,180.39
137,-1688.358036,-1688.3602,,-1688.351553,176.42
138,-1688.357885,-1688.3602,,-1688.351553,172.31
139,-1688.357729,-1688.3602,,-1688.351553,168.07
140,-1688.357568,-1688.3602,,-1688.351553,163.69
141,-1688.357403,-1688.3602,,-1688.351553,159.2
142,-1688.357234,-1688.3602,,-1688.351553,154.59
143,-1688.357061,-1688.3602,,-1688.351553,149.88
144,-1688.356884,-1688.3602,,-1688.351553,145.07
145,-1688.356704,-1688.3602,,-1688.351553,140.18
146,-1688.356522,-1688.3602,,-1688.351553,135.2
147,-1688.356336,-1688.3602,,-1688.351553,130.15
148,-1688.356147,-1688.3602,,-1688.351553,125.02
149,-1688.355956,-1688.3602,,-1688.351553,119.82
150,-1688.355763,-1688.3602,,-1688.351553,114.57
151,-1688.355569,-1688.3602,,-1688.351553,109.27
152,-1688.355373,-1688.3602,,-1688.351553,103.95
153,-1688.355177,-1688.3602,,-1688.351553,98.62
154,-1688.354981,-1688.3602,,-1688.351553,93.29
155,-1688.354786,-1688.3602,,-1688.351553,87.97
156,-1688.35459,-1688.3602,,-1688.351553,82.66
157,-1688.354396,-1688.3602,,-1688.351553,77.37
158,-1688.354203,-1688.3602,,-1688.351553,72.11
159,-1688.354011,-1688.3602,,-1688.351553,66.89
160,-1688.353822,-1688.3602,,-1688.351553,61.74
161,-1688.353636,-1688.3602,,-1688.351553,56.69
162,-1688.353455,-1688.3602,,-1688.351553,51.76
163,-1688.353279,-1688.3602,,-1688.351553,46.97
164,-1688.353108,-1688.3602,,-1688.351553,42.32
165,-1688.352943,-1688.3602,,-1688.351553,37.82
166,-1688.352782,-1688.3602,,-1688.351553,33.46
167,-1688.352628,-1688.3602,,-1688.351553,29.26
